arm,seed_index,utility_gap,mcts_utility,nccn_utility
decide,0,0.04323646412793081,1.9755302164933313,1.9322937523654005
decide,1,0.06028223806776234,1.9428788289052534,1.882596590837491
decide,2,0.05285303784885831,1.9324067570219008,1.8795537191730425
decide,3,0.012369529652933142,1.9004758530744255,1.8881063234214923
decide,4,0.050067984186243475,1.919701501613357,1.8696335174271135
decide,5,0.04695715946240098,1.9228466232079895,1.8758894637455885
decide,6,0.08259560112382558,1.9548798139094683,1.8722842127856427
decide,7,0.038335310625895236,1.8967366952746005,1.8584013846487053
decide,8,0.02986711867262204,1.9040781224177448,1.8742110037451227
decide,9,0.04844145291781499,1.9403334981189364,1.8918920452011214
decide,10,0.04872534427263031,1.9383840846341347,1.8896587403615044
decide,11,0.062209917202465714,1.9422122918547262,1.8800023746522605
decide,12,0.07338551171074803,1.9855529652655626,1.9121674535548145
decide,13,0.03559507798198802,1.9174283699949473,1.8818332920129592
decide,14,0.03357110563645627,1.9157009108957908,1.8821298052593345
decide,15,0.04048030051513374,1.9434540344537012,1.9029737339385675
decide,16,0.06927735504720811,1.9544789436445122,1.8852015885973041
decide,17,0.06573212535820838,1.958521855524154,1.8927897301659455
decide,18,0.04030346593174339,1.9251035690138452,1.8848001030821018
decide,19,0.04209835893227054,1.9510350165076367,1.9089366575753661
decide,20,0.03424410781842213,1.9089035450465395,1.8746594372281173
decide,21,0.07792658388397555,1.9747799683187601,1.8968533844347846
decide,22,0.051834183364879216,1.939606678947278,1.8877724955823987
decide,23,0.045707800163759416,1.9487038356597324,1.902996035495973
defer,0,0.04913392589679555,1.981427678262196,1.9322937523654005
defer,1,0.06505519428319206,1.9476517851206832,1.882596590837491
defer,2,0.0317003312468096,1.911254050419852,1.8795537191730425
defer,3,0.025682872401201484,1.9137891958226938,1.8881063234214923
defer,4,0.0467364877821288,1.9163700052092423,1.8696335174271135
defer,5,0.057688325051729716,1.9335777887973182,1.8758894637455885
defer,6,0.06961489461842452,1.9418991074040672,1.8722842127856427
defer,7,0.025178181956317047,1.8835795666050223,1.8584013846487053
defer,8,0.007900142175932157,1.8821111459210549,1.8742110037451227
defer,9,0.05549258811829705,1.9473846333194185,1.8918920452011214
defer,10,0.057664116618572736,1.9473228569800771,1.8896587403615044
defer,11,0.02862294383749786,1.9086253184897584,1.8800023746522605
defer,12,0.061679240349663766,1.9738466939044783,1.9121674535548145
defer,13,0.05928689231475692,1.9411201843277162,1.8818332920129592
defer,14,0.05381369588449192,1.9359435011438264,1.8821298052593345
defer,15,0.0390975312092019,1.9420712651477694,1.9029737339385675
defer,16,0.09263200010576433,1.9778335887030685,1.8852015885973041
defer,17,0.07437666417862876,1.9671663943445743,1.8927897301659455
defer,18,0.07086756266279504,1.9556676657448968,1.8848001030821018
defer,19,0.0423173642418877,1.9512540218172538,1.9089366575753661
defer,20,0.03996371413312794,1.9146231513612453,1.8746594372281173
defer,21,0.05388630410639772,1.9507396885411823,1.8968533844347846
defer,22,0.03475767084553194,1.9225301664279306,1.8877724955823987
defer,23,0.03833682081097334,1.9413328563069463,1.902996035495973
