arm,seed_index,utility_gap,mcts_utility
none,0,0.011221666666666907,0.829195
none,1,0.02230583333333358,0.8255716666666668
none,2,0.018314166666666853,0.8268083333333334
none,3,0.022985833333333372,0.8268833333333333
none,4,0.022038333333333382,0.8260166666666666
none,5,0.021894999999999887,0.8233508333333333
none,6,0.023667500000000175,0.82603
none,7,0.01373833333333363,0.8124716666666668
none,8,0.02649833333333329,0.8266724999999999
none,9,0.01847333333333334,0.8215116666666666
none,10,0.02264166666666667,0.8292624999999999
none,11,0.01444583333333338,0.8165908333333334
label,0,0.00427583333333359,0.8222491666666667
label,1,0.017515833333333397,0.8207816666666666
label,2,0.014052500000000023,0.8225466666666665
label,3,0.024025833333333302,0.8279233333333332
label,4,0.017079999999999984,0.8210583333333332
label,5,0.02309166666666651,0.8245474999999999
label,6,0.023462500000000164,0.825825
label,7,0.010892500000000083,0.8096258333333333
label,8,0.02124499999999996,0.8214191666666666
label,9,0.017092500000000066,0.8201308333333334
label,10,0.016594166666666688,0.8232149999999999
label,11,0.016636666666666633,0.8187816666666666
full,0,0.007125833333333609,0.8250991666666667
full,1,0.018445833333333383,0.8217116666666666
full,2,0.019883333333333364,0.8283774999999999
full,3,0.02264333333333335,0.8265408333333333
full,4,0.015607499999999996,0.8195858333333332
full,5,0.01816833333333323,0.8196241666666666
full,6,0.02815083333333357,0.8305133333333334
full,7,0.02360583333333366,0.8223391666666668
full,8,0.02584999999999993,0.8260241666666666
full,9,0.01547833333333326,0.8185166666666666
full,10,0.02311333333333343,0.8297341666666667
full,11,0.01576416666666669,0.8179091666666667
