arm,seed_index,utility_gap,mcts_utility,nccn_utility
tail,0,0.03547163894205352,1.9670618383408385,1.931590199398785
tail,1,0.06948922811391078,1.9507877923654522,1.8812985642515414
tail,2,0.05773744442289863,1.9379186991963961,1.8801812547734975
tail,3,0.030497276279144225,1.913708760649834,1.8832114843706897
tail,4,0.0727097749755119,1.943997552616246,1.8712877776407342
tail,5,0.03593145327827174,1.9098044681761592,1.8738730148978875
tail,6,0.08417532562731678,1.955603978118982,1.8714286524916652
tail,7,0.031434944139170584,1.8930492069037683,1.8616142627645977
tail,8,0.05376712563393582,1.9260016262768525,1.8722345006429166
tail,9,0.04579940982168362,1.9381511877289384,1.8923517779072547
tail,10,0.05969713644517172,1.9515741027272244,1.8918769662820527
tail,11,0.044978153319205294,1.9306566493713384,1.8856784960521331
inert,0,0.04509185322349629,1.9761911864134416,1.9310993331899453
inert,1,0.045918627027329295,1.9284252499388401,1.8825066229115108
inert,2,0.04351436973142375,1.9231398897179388,1.879625519986515
inert,3,0.02001279314755733,1.9086347668766588,1.8886219737291015
inert,4,0.057761787195869996,1.9260515601927501,1.8682897729968801
inert,5,0.05785854319295902,1.9341793338775766,1.8763207906846175
inert,6,0.05054593464340895,1.923303330655798,1.872757396012389
inert,7,0.04863827340641458,1.9076968543437647,1.85905858093735
inert,8,0.03365104878970615,1.907648355061615,1.8739973062719089
inert,9,0.045520903287097125,1.9359326641656267,1.8904117608785296
inert,10,0.04302520857737058,1.9331136468406225,1.890088438263252
inert,11,0.0378042926900235,1.9182382639721254,1.8804339712821019
decide,0,0.06328462993533135,1.9995761237450793,1.936291493809748
decide,1,0.03660996141870143,1.9252578111725498,1.8886478497538484
decide,2,0.06786294564024598,1.9524786588666703,1.8846157132264243
decide,3,0.03759286178588983,1.9303925449187411,1.8927996831328513
decide,4,0.05678526289630481,1.9321699105054595,1.8753846476091547
decide,5,0.07506296729542927,1.9562752146470384,1.881212247351609
decide,6,0.07055066751480399,1.9473225059826735,1.8767718384678695
decide,7,0.035613784669881854,1.9004017743489918,1.86478798967911
decide,8,0.04043754081947282,1.9193344951187814,1.8788969542993086
decide,9,0.03927142320513077,1.936112375828,1.8968409526228693
decide,10,0.051409572555861205,1.9450516827390196,1.8936421101831584
decide,11,0.07593944326997515,1.9593950823074036,1.8834556390374284
defer,0,0.03511737759996292,1.9714088714097109,1.936291493809748
defer,1,0.048641445184216536,1.937289294938065,1.8886478497538484
defer,2,0.03315309334744465,1.917768806573869,1.8846157132264243
defer,3,0.04307469549747833,1.9358743786303296,1.8927996831328513
defer,4,0.03326793036831632,1.908652577977471,1.8753846476091547
defer,5,0.05945589040239563,1.9406681377540047,1.881212247351609
defer,6,0.055202117476984114,1.9319739559448537,1.8767718384678695
defer,7,0.046423565464828176,1.9112115551439381,1.86478798967911
defer,8,0.05827279925171158,1.9371697535510202,1.8788969542993086
defer,9,0.05109110117085258,1.947932053793722,1.8968409526228693
defer,10,0.05149565556962332,1.9451377657527817,1.8936421101831584
defer,11,0.06395510052328368,1.947410739560712,1.8834556390374284
