group,scans,switch_after,switch_before,forward_minus_backward
controlled,5963,0.2954888478953547,0.30773100788193863,-0.012242159986583956
other,2854,0.524176594253679,0.37245970567624387,0.15171688857743515
progressing,5242,0.7132773750476917,0.3374666157954979,0.3758107592521938
